"year","latitude","longitude","response","mean.prox.spring.tmin","mean.prox.spring.tmax","mean.prox.spring.ppt","mean.prox.spring.vpd","mean.prox.spring.soil","mean.prox.spring.PDSI","mean.prox.summer.tmin","mean.prox.summer.tmax","mean.prox.summer.ppt","mean.prox.summer.vpd","mean.prox.summer.soil","mean.prox.summer.PDSI","mean.prox.winter.tmin","mean.prox.winter.tmax","mean.prox.winter.ppt","mean.prox.winter.vpd","mean.prox.winter.soil","mean.prox.winter.PDSI","mean.prox.fall.tmin","mean.prox.fall.tmax","mean.prox.fall.ppt","mean.prox.fall.vpd","mean.prox.fall.soil","mean.prox.fall.PDSI","mean.prox.annual.tmin","mean.prox.annual.tmax","mean.prox.annual.ppt","mean.prox.annual.vpd","mean.prox.annual.soil","mean.prox.annual.PDSI","mean.dep.spring.tmin","mean.dep.spring.tmax","mean.dep.spring.ppt","mean.dep.spring.vpd","mean.dep.spring.soil","mean.dep.spring.PDSI","mean.dep.summer.tmin","mean.dep.summer.tmax","mean.dep.summer.ppt","mean.dep.summer.vpd","mean.dep.summer.soil","mean.dep.summer.PDSI","mean.dep.winter.tmin","mean.dep.winter.tmax","mean.dep.winter.ppt","mean.dep.winter.vpd","mean.dep.winter.soil","mean.dep.winter.PDSI","mean.dep.fall.tmin","mean.dep.fall.tmax","mean.dep.fall.ppt","mean.dep.fall.vpd","mean.dep.fall.soil","mean.dep.fall.PDSI","mean.dep.annual.tmin","mean.dep.annual.tmax","mean.dep.annual.ppt","mean.dep.annual.vpd","mean.dep.annual.soil","mean.dep.annual.PDSI","min.prox.spring.tmin","max.prox.spring.tmax","min.prox.summer.tmin","max.prox.summer.tmax","min.prox.winter.tmin","max.prox.winter.tmax","min.prox.fall.tmin","max.prox.fall.tmax","min.prox.annual.tmin","max.prox.annual.tmax","min.dep.spring.tmin","max.dep.spring.tmax","min.dep.summer.tmin","max.dep.summer.tmax","min.dep.winter.tmin","max.dep.winter.tmax","min.dep.fall.tmin","max.dep.fall.tmax","min.dep.annual.tmin","max.dep.annual.tmax"
1985,52.040719,5.855731,60.1,4.67,12.1466666666667,61.4333333333333,0.266666666666667,65.6,0.71,10.94,19.9233333333333,106.566666666667,0.463333333333333,68.2666666666667,2.30666666666667,-1.63,3.66,74.3666666666667,0.113333333333333,73.5,1.68666666666667,5.14666666666667,12.4133333333333,54.1,0.21,64.9,1.82,4.54666666666667,11.9283333333333,70.7,0.2575,68.0666666666667,1.5175,0.733469476994617,0.0604279779880943,0.0225840380156246,1.78223266796871,0.105950549937965,0.0927170731220806,0.588955734123853,0.534501977087349,1.69702060637161,0.368694808712193,2.42623623844813,0.854949103138666,0.368501868267269,0.474215845104409,0.000327305449790207,0.000357046120509208,0.0333333333333317,0.292043664856248,1.79709719712571,2.37059638298858,0.997671478879754,0.134110247872734,0.168981746798337,0.414244612376956,1.88098940546886,1.95619092093566,0.036205645016587,1.22106934407343,1.36588249763916,0.452925484307628,0.81,17.62,9.15,21.63,-7.37,7.38,-0.35,18.52,-6.18,21.63,0.0209318352413564,0.267953943942938,1.8047862282842,0.0456831458963187,4.50638614187403,0.367194908795575,5.48109222166961,0.00109171555312846,2.62024622983456,0.0491877503329423
1986,52.040719,5.855731,65,3.69666666666667,11.82,67.9666666666667,0.31,65.1666666666667,1.40666666666667,11.2533333333333,21.05,64.6666666666667,0.583333333333333,21.1333333333333,-0.513333333333333,-1.86333333333333,3.61666666666667,80.0333333333333,0.0966666666666667,73.5,0.16,6.09666666666667,13.86,76.7333333333333,0.23,53.9,-1.26333333333333,4.73916666666667,12.56,74.4,0.311666666666667,53.425,0.265,0.243437576521656,0.338140628111332,0.0567900328964685,0.0537908128924053,0.0761810578450031,0.345013517697508,0.0518666062457811,0.0341952608126438,0.328420031027724,0.365973823110741,0.843421006306914,0.043085731561757,0.541858244446497,0.510974428548617,0.0599160732171326,0.343121321809362,0.0333333333333317,8.12045405916224e-05,0.030470843068386,0.111212751935674,0.00206299777177339,0.0858305586385498,0.209207514732874,0.239411493187188,1.01517732742081,0.233152479559773,0.0168521165423521,0.265350814552448,0.415613360149786,0.0115754569066807,0.34,18.27,10.65,21.63,-5.74,6.93,4.64,16,-7.37,21.63,0.209797985666031,0.920067318378502,0.468616271213838,0.0456831458963187,2.06809691741592,0.0934908340296787,1.38184695442009,3.49592252023988,4.56398049981872,0.0491877503329423
1987,52.040719,5.855731,62,3.18666666666667,11.53,75.8,0.293333333333333,69.7,0.543333333333333,11.2333333333333,19.5,102.3,0.413333333333333,72.5666666666667,2.63,2.00333333333333,6.99666666666667,96.3333333333333,0.14,73.5,3.28666666666667,7.02333333333333,13.8133333333333,86.1333333333333,0.216666666666667,73.5,3.30666666666667,4.88166666666667,12.0275,79.425,0.251666666666667,72.3166666666667,1.82083333333333,1.44159360951721,0.773516885208837,0.495917117619419,0.430582497489711,0.630061734487977,0.0560833571602731,0.068744038742113,1.15622698845281,1.23584918515056,1.23714271317537,3.18096671257641,1.11186504405539,1.96759199505527,1.7638690573636,1.00182698856255,0.788714880204871,0.0333333333333317,1.20414555755748,0.926987618141726,0.0745624449434044,0.229552944827106,0.0214576396596374,1.18822291961237,1.41578412352649,0.544874553995192,1.57469544162568,0.318702359309295,1.63711236158321,2.87328979846564,0.655985343101619,-1.65,15.16,9.46,20.99,1.33,8.29,4.21,18.85,-5.74,20.99,3.18555114598641,1.33053279288523,0.854344714634767,0.389001218986354,2.34673820692557,1.47147587992966,0.761218163458522,0.043047449196873,2.0372562517212,0.401454993643853
1988,52.040719,5.855731,49,4.86,13.47,72.5666666666667,0.396666666666667,45.4333333333333,3.45666666666667,11.3766666666667,19.9633333333333,81.8,0.46,48,1.5,2.56,7.77666666666667,63.2666666666667,0.13,73.5,-0.26,6.48666666666667,13.2233333333333,71.5666666666667,0.196666666666667,73.5,1.98666666666667,6.405,13.5908333333333,83.825,0.3,60.1083333333333,2.4675,1.25422310786069,1.24103095055033,0.262044869249861,3.89754598519205,3.91148878696291,2.0157967561722,0.000234408784671262,0.488007229177749,0.0376145399870232,0.410718919667939,0.243034694509206,0.360918452426019,2.92623786493181,3.23839166560103,0.284095320261986,0.300275787348256,0.0333333333333317,0.0188187532821048,0.0924856295744491,0.240960451977399,0.0372332155567208,0.649093599704033,1.18822291961237,0.496823447309575,4.58725270898248,1.02338946618653,0.893382323281209,0.0276119474040007,0.0335106764951639,1.2140730524249,1.9,19.28,10.54,21.24,1.72,8.13,2.59,17.35,1.33,21.24,0.338778879582486,2.7070637831452,0.287121375266679,0.214885689981854,2.87553253909366,1.22391091517663,0.072476060510152,0.784630181112139,2.7159248735328,0.223480205901947
1989,52.040719,5.855731,50,5.27333333333333,14.2766666666667,68.6666666666667,0.42,58.0333333333333,-0.25,11.73,21.9533333333333,57.2333333333333,0.646666666666667,15.0333333333333,-2.46,2.59333333333333,8.46666666666667,93.8,0.17,73.5,-3.53333333333333,6.81666666666667,14.7133333333333,56.3333333333333,0.266666666666667,39.0666666666667,-3.48666666666667,6.36666666666667,14.6025,62.3333333333333,0.3675,46.4083333333333,-2.06833333333333,2.86670010408173,3.77499169404948,0.0783668839144527,6.59556644267161,0.290190950856049,0.00727886919304462,0.351979440732973,0.845220037441364,0.820572339391629,1.54930022800852,1.53468976108887,0.978399631036919,2.98965916047265,4.91332198309928,0.780386883334337,3.64222747531457,0.0333333333333317,1.62959835659255,0.502887937359104,2.06896902590392,0.802446298095525,2.25439326674066,2.65202947253021,1.7062126109253,4.28206889399769,6.14209679221393,0.835565774046802,4.77472697496834,2.29130176403928,0.894409952073157,3.34,20.41,10.27,22.73,1.3,10.88,1.62,19.81,1.3,22.73,2.37814924195383,5.82232072726254,0.0291729425145985,0.240971560910163,2.30828525014953,8.64878297047913,0.907864922224917,0.822962996251823,2.67308385922945,0.236230350059836
1990,52.040719,5.855731,51,5.38666666666667,15.0933333333333,41.6,0.453333333333333,48.6333333333333,-3.58666666666667,11.73,21.7,64.3,0.643333333333333,17.9666666666667,-4.19666666666667,-0.886666666666667,4.60333333333333,61.5,0.13,73.5,-3.27666666666667,6.45,13.54,79.5666666666667,0.236666666666667,60.5,-3.72,6.52416666666667,14.5675,68.2916666666667,0.375833333333333,50.15,-3.70916666666667,3.42362602599401,7.74023469456702,1.76868011357324,11.6738543701105,2.59942813448398,2.07411978151966,0.351979440732973,0.508925850646573,0.347503578168715,1.46661249889775,1.17664245765867,2.84393652408094,0.038366635263562,0.0140341655892734,0.378174895059161,0.300275787348256,0.0333333333333317,1.40948461597492,0.067138515305709,0.0065373292003627,0.0310268456671665,0.262856085830558,0.00405609826673251,1.93753835361303,5.60305944742318,5.8931590120123,0.158903457736076,5.92614518171518,1.10311765446972,2.8440914318623,3.68,19.87,10.63,24.1,-4.29,5.6,3.1,16.68,1.11,24.1,3.12868860135657,4.18658724591704,0.432327040642425,1.87270078039369,0.687184592502201,0.338148156579226,0.00813743986868734,1.88821082185349,2.40966642920402,1.87030527713374
1992,52.040719,5.855731,57,5.81666666666667,14.4466666666667,68.9666666666667,0.433333333333333,56.4666666666667,-3.23666666666667,12.74,22.4566666666667,92.1333333333333,0.633333333333333,27,-3.28,0.606666666666667,5.74333333333333,68.6,0.11,73.5,0.456666666666667,5.99333333333333,13.14,91.8,0.223333333333333,63.0666666666667,-1.67666666666667,6.36333333333333,14.0408333333333,75.7166666666667,0.354166666666667,55.0083333333333,-2.80166666666667,5.98599784173112,4.48432774875964,0.0886753783728205,8.45408542708023,0.514983951032219,1.6849645617144,5.44253612623317,1.76513700611288,0.431053665261881,1.23215423957271,0.372332643051794,1.73808300813313,0.397092332441539,0.325550556709777,0.0815671529814711,0.0174952599049518,0.0333333333333317,0.0126055715931903,0.0908341336854878,0.358535262715177,0.548436734335296,0.00536440991490929,0.0709314374579012,0.411097466224574,4.25602758668562,2.76899580632967,0.0594008290734619,3.19090567187485,0.201226534563622,1.63015819741657,3.14,20.61,11.88,23.1,-0.5,7.58,3.94,18.61,0.24,23.1,1.98466327802067,6.49644656221794,5.5107477393116,0.529836472643348,0.582402197052954,0.546697310132558,0.465391629365043,0.00105984236980812,1.37798169388846,0.524349379453197
1993,52.040719,5.855731,45,5.59,14.86,44.4666666666667,0.406666666666667,42.2333333333333,-1.88666666666667,10.98,20.31,82.6,0.446666666666667,47.3,-1.82,0.746666666666667,6.18333333333333,108.9,0.12,73.5,3.51666666666667,4.58333333333333,10.84,88.6,0.14,73.5,2.38666666666667,5.51166666666667,13.0466666666667,80.6166666666667,0.275,59.1333333333333,0.170833333333333,4.54665093830921,6.46358435291576,1.34424339992812,4.96744237368555,5.49069222340363,0.562335053212923,0.487954849028617,0.173658939443789,0.0527892156250323,0.601490243503018,0.208130258267514,0.536096911530712,0.500687323305923,0.699756004866914,2.50862565012095,0.043202580581616,0.0333333333333317,1.38625577062153,4.12892570166771,12.7938085752512,0.351558571448622,7.14673510913799,1.18822291961237,0.725614072267304,0.205111743028682,0.0495966033841759,0.445730454379467,0.33824635569901,0.00388180377464206,0.00423543754902498,1.28,19.21,10.46,20.81,-1.91,7.23,-0.6,16.51,-0.6,20.81,0.0284530536211,2.55284734590164,0.182908648655956,0.546123728883615,0.0291843255649732,0.255933089785048,6.33710281820785,2.24408199655248,0.653654084509852,0.561644724271825
1994,52.040719,5.855731,49.5,5.28666666666667,13.17,86.2333333333333,0.306666666666667,71.9333333333333,3.32666666666667,12.85,22.9066666666667,59.4333333333333,0.666666666666667,28.3333333333333,2.04,1.99333333333333,7.58333333333333,131.6,0.126666666666667,73.5,4.02666666666667,6.94666666666667,13.97,98.4333333333333,0.186666666666667,73.5,2.68333333333333,6.49416666666667,14.1316666666667,83.9416666666667,0.320833333333333,61.8166666666667,2.83666666666667,2.92965650146324,0.649217529316536,1.75499598613964,0.100349785384047,1.10005447528184,1.8686907996234,6.36245508848931,2.87115733629902,0.651838248009634,2.09304385069851,0.291759571216047,0.66842106179816,1.95210462483232,2.83147620078862,6.95317399451385,0.188877397749379,0.0333333333333317,1.83579054956343,0.754646210999508,0.226495055669258,1.09539972913757,1.28879948205697,1.18822291961237,0.923203248240502,5.3377709099454,3.22460569757951,0.912563851806745,0.622994563302771,0.155739665256801,1.60909323199682,3.61,16.7,10.27,26.46,0.55,8.92,4.85,16.98,-1.91,26.46,2.96576443111167,0.0115203158158727,0.0291729425145985,8.29559149435319,1.45019666674645,2.66776295793084,1.75169717247531,1.33510484730466,0.056958967851431,8.33005443384103
1995,52.040719,5.855731,51.5,4.65666666666667,13.1466666666667,67.1666666666667,0.346666666666667,58.1666666666667,3.87,12.7366666666667,22.95,54.3,0.643333333333333,24.7333333333333,1.84,-3.12333333333333,2.01333333333333,39.3666666666667,0.0866666666666667,73.5,-3.28,7.19333333333333,14.44,59.4333333333333,0.2,67.1333333333333,-1.12,6.165,14.0141666666667,70.9916666666667,0.326666666666667,55.8833333333333,1.65833333333333,0.702139437819788,0.611153999809482,0.0363758649642717,0.492021141602392,0.274016290108363,2.52054646376378,5.4157805610453,2.99179415767919,1.07572945677016,1.46661249889775,0.531825460650099,0.543569925815636,2.05369020567539,2.83554587500417,2.69516369448513,0.857267735342641,0.0333333333333317,1.41224092445433,1.37230567347069,1.17608846477371,0.566656750452371,0.48413799482057,0.345037355569402,0.190647228591555,2.84952760356375,2.64182464583921,0.027239922469088,0.928865910670589,0.115744784629183,0.542539610401291,1.4,17.98,9.81,25.15,-3.5,2.58,3.23,17.54,-3.5,25.15,0.0618451295481889,0.580946212768341,0.203502604218643,4.16593770537488,0.247107943383885,6.74027190171855,0.0330603361461977,0.558475779596492,0.205175027141178,4.17481309288045
